Country,Cases,Deaths,Recoveries,Death Rate,Recovery Rate
Aruba,4658,44,4521,0.009,0.971
Somalia,4301,107,3330,0.025,0.774
Uruguay,3957,64,3175,0.016,0.802
Mali,3868,139,2937,0.036,0.759
Thailand,3866,60,3707,0.016,0.959
The Gambia,3702,122,3567,0.033,0.964
South Sudan,3003,59,1290,0.02,0.43
Benin,2844,43,2515,0.015,0.884
Togo,2651,61,1885,0.023,0.711
Burkina Faso,2635,68,2426,0.026,0.921
Abkhazia,2579,27,1167,0.01,0.453
Guinea-Bissau,2419,43,2255,0.018,0.932
Sierra Leone,2391,74,1816,0.031,0.76
Yemen,2073,605,1399,0.292,0.675
Lesotho,2041,44,1056,0.022,0.517
Luhansk PR,1669,121,1391,0.072,0.833
New Zealand,1645,25,1562,0.015,0.95
Chad,1551,99,1394,0.064,0.899
Liberia,1452,82,1311,0.056,0.903
U.S. Virgin Islands,1405,23,1345,0.016,0.957
Curaçao,1307,2,923,0.002,0.706
Niger,1246,69,1144,0.055,0.918
Vietnam,1226,35,1087,0.029,0.887
Somaliland,1188,37,972,0.031,0.818
San Marino,1114,42,789,0.038,0.708
USS Theodore Roosevelt,1102,1,751,0.001,0.681
Charles de Gaulle,1081,0,0,0.0,0.0
Northern Cyprus,976,5,916,0.005,0.939
São Tomé and Príncipe,962,16,912,0.017,0.948
Sint Maarten,923,24,835,0.026,0.905
Gibraltar,887,1,742,0.001,0.837
Liechtenstein,801,4,565,0.005,0.705
Turks and Caicos Islands,716,6,695,0.008,0.971
Diamond Princess,712,14,653,0.02,0.917
Jersey,672,32,534,0.048,0.795
Taiwan,600,7,535,0.012,0.892
Papua New Guinea,599,7,585,0.012,0.977
Burundi,589,1,511,0.002,0.868
Comoros,563,7,532,0.012,0.945
Faroe Islands,497,0,494,0.0,0.994
Eritrea,491,0,438,0.0,0.892
Monaco,490,2,369,0.004,0.753
Mauritius,453,10,416,0.022,0.918
Artsakh,404,2,337,0.005,0.834
Bhutan,369,0,345,0.0,0.935
Mongolia,368,0,31,0.0,0.084
Isle of Man,359,25,324,0.07,0.903
Cambodia,301,0,288,0.0,0.957
Guernsey,282,13,253,0.046,0.897
Cayman Islands,250,1,236,0.004,0.944
Barbados,249,7,234,0.028,0.94
Bermuda,214,9,182,0.042,0.85
Saint Lucia,160,2,46,0.013,0.287
Seychelles,153,0,149,0.0,0.974
Costa Atlantica,148,0,148,0.0,1.0
Brunei,148,3,143,0.02,0.966
Bonaire,134,3,126,0.022,0.94
Greg Mortimer,128,1,,0.008,
Antigua and Barbuda,128,3,117,0.023,0.914
Northern Mariana Islands,100,2,19,0.02,0.19
South Ossetia,90,0,90,0.0,1.0
Saint Vincent,78,0,76,0.0,0.974
British Virgin Islands,71,1,70,0.014,0.986
Dominica,68,0,41,0.0,0.603
Macau,46,0,46,0.0,1.0
Fiji,35,2,32,0.057,0.914
East Timor,30,0,29,0.0,0.967
Sahrawi Arab DR,28,2,26,0.071,0.929
Grenada,28,0,24,0.0,0.857
New Caledonia,28,0,28,0.0,1.0
Vatican City,27,0,15,0.0,0.556
Laos,24,0,23,0.0,0.958
Saint Kitts and Nevis,19,0,19,0.0,1.0
Greenland,17,0,17,0.0,1.0
Saint Pierre and Miquelon,16,0,12,0.0,0.75
Sint Eustatius,14,0,4,0.0,0.286
Falkland Islands,13,0,13,0.0,1.0
Montserrat,13,1,12,0.077,0.923
MS Zaandam,13,4,,0.308,
Solomon Islands,13,0,4,0.0,0.308
Coral Princess,12,3,,0.25,
HNLMS Dolfijn,8,0,8,0.0,1.0
SeaDream I,7,0,,0.0,
Saba,5,0,5,0.0,1.0
Anguilla,3,0,3,0.0,1.0
Marshall Islands,2,0,2,0.0,1.0
Wallis and Futuna,1,0,1,0.0,1.0
Vanuatu,1,0,0
